,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_win,oscar_category,nominee,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,revenue,rotten_tomatoes_rating,metascore,total_wins,no_oscar_nominations,total_nominations
0,600354,tt10272386,2020,2021,The Father,FALSE,Best Picture,"David Parfitt, Jean-Louis Livi, and Philippe Carcassonne",[18],"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss', 'Olivia Williams']",58.846,Florian Zeller,"['David Parfitt', 'Philippe Carcassonne', 'Jean-Louis Livi', 'Christophe Spadone', 'Simon Friend']","['Christopher Hampton', 'Florian Zeller']",22.383,20000000,97,83,406,83,33543,5100000,88,88,24,6,127
1,583406,tt9784798,2020,2021,Judas and the Black Messiah,FALSE,Best Picture,"Shaka King, Charles D. King, and Ryan Coogler","[18, 36]","['Daniel Kaluuya', 'Lakeith Stanfield', 'Jesse Plemons', 'Dominique Fishback']",66.215,Shaka King,"['Ryan Coogler', 'Shaka King', 'Charles D. King']","['Shaka King', 'Will Berson']",32.282,26000000,125,75,421,76,27490,4181000,85,85,24,6,51
2,614560,tt10618286,2020,2021,Mank,FALSE,Best Picture,"Ceán Chaffin, Eric Roth, and Douglas Urbanski","[18, 36]","['Gary Oldman', 'Amanda Seyfried', 'Lily Collins', 'Tom Pelphrey']",144.436,David Fincher,"['Eric Roth', 'Ceán Chaffin', 'Douglas Urbanski']",['Jack Fincher'],36.524,20000000,133,70,820,70,53366,100000,79,79,47,10,255
3,615643,tt10633456,2020,2021,Minari,FALSE,Best Picture,Christina Oh,[18],"['Steven Yeun', 'Han Yeri', 'Youn Yuh-jung', 'Will Patton']",44.22,Lee Isaac Chung,"['Dede Gardner', 'Jeremy Kleiner', 'Christina Oh']",[],126.026,2000000,115,77,323,76,30604,485158,89,89,101,6,209
4,581734,tt9770150,2020,2021,Nomadland,FALSE,Best Picture,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey, and Chloé Zhao","[18, 37]","['Frances McDormand', 'David Strathairn', 'Linda May', 'Swankie']",46.505,Chloé Zhao,"['Frances McDormand', 'Peter Spears', 'Dan Janvey', 'Mollye Asher', 'Chloé Zhao']",['Chloé Zhao'],72.538,5000000,108,75,513,75,54847,2143000,93,93,216,6,140
5,582014,tt9620292,2020,2021,Promising Young Woman,FALSE,Best Picture,"Ben Browning, Ashley Fox, Emerald Fennell, and Josey McNamara","[53, 80, 18]","['Carey Mulligan', 'Bo Burnham', 'Alison Brie', 'Clancy Brown']",95.595,Emerald Fennell,"['Margot Robbie', 'Ben Browning', 'Emerald Fennell', 'Tom Ackerley', 'Josey McNamara', 'Ashley Fox']",[],155.232,7500000,114,76,761,75,72057,12500000,73,73,101,5,167
6,502033,tt5363618,2020,2021,Sound of Metal,FALSE,Best Picture,Bert Hamelinck and Sacha Ben Harroche,"[18, 10402]","['Riz Ahmed', 'Olivia Cooke', 'Paul Raci', 'Lauren Ridloff']",45.078,Darius Marder,"['Bert Hamelinck', 'Bill Benz', 'Sacha Ben Harroche', 'Kathy Benz']","['Darius Marder', 'Abraham Marder']",86.194,0,121,78,935,78,58498,174936,97,82,74,6,159
7,556984,tt1070874,2020,2021,The Trial of the Chicago 7,FALSE,Best Picture,Marc Platt and Stuart M. Besser,"[18, 36]","['Yahya Abdul-Mateen II', 'Sacha Baron Cohen', 'Joseph Gordon-Levitt', 'Michael Keaton']",143.464,Aaron Sorkin,"['Marc Platt', 'Tyler Thompson', 'Matt Jackson', 'Stuart Besser']",['Aaron Sorkin'],32.899,35000000,130,78,1614,78,127702,107423,76,76,49,6,182
