,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_win,oscar_category,nominee,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,revenue,rotten_tomatoes_rating,metascore,total_wins,no_oscar_nominations,total_nominations
0,615643,tt10633456,2020,2021,Minari,FALSE,Best Director,Lee Isaac Chung,[18],"['Steven Yeun', 'Han Yeri', 'Youn Yuh-jung', 'Will Patton']",44.22,Lee Isaac Chung,"['Dede Gardner', 'Jeremy Kleiner', 'Christina Oh']",[],126.026,2000000,115,77,323,76,30604,485158,89,89,101,6,209
1,582014,tt9620292,2020,2021,Promising Young Woman,FALSE,Best Director,Emerald Fennell,"[53, 80, 18]","['Carey Mulligan', 'Bo Burnham', 'Alison Brie', 'Clancy Brown']",95.595,Emerald Fennell,"['Margot Robbie', 'Ben Browning', 'Emerald Fennell', 'Tom Ackerley', 'Josey McNamara', 'Ashley Fox']",[],155.232,7500000,114,76,761,75,72057,12500000,73,73,101,5,167
2,614560,tt10618286,2020,2021,Mank,FALSE,Best Director,David Fincher,"[18, 36]","['Gary Oldman', 'Amanda Seyfried', 'Lily Collins', 'Tom Pelphrey']",144.436,David Fincher,"['Eric Roth', 'Ceán Chaffin', 'Douglas Urbanski']",['Jack Fincher'],36.524,20000000,133,70,820,70,53366,100000,79,79,47,10,255
3,580175,tt10288566,2020,2021,Another Round,FALSE,Best Director,Thomas Vinterberg,"[35, 18]","['Mads Mikkelsen', 'Thomas Bo Larsen', 'Lars Ranthe', 'Magnus Millang']",70.816,Thomas Vinterberg,"['Sisse Graum Jørgensen', 'Kasper Dissing']","['Thomas Vinterberg', 'Tobias Lindholm']",23.619,3900000,117,77,560,78,60114,3668749,80,80,36,2,55
4,581734,tt9770150,2020,2021,Nomadland,FALSE,Best Director,Chloé Zhao,"[18, 37]","['Frances McDormand', 'David Strathairn', 'Linda May', 'Swankie']",46.505,Chloé Zhao,"['Frances McDormand', 'Peter Spears', 'Dan Janvey', 'Mollye Asher', 'Chloé Zhao']",['Chloé Zhao'],72.538,5000000,108,75,513,75,54847,2143000,93,93,216,6,140
