,tmdb_id,imdb_id,film,year,budget,revenue,oscar_cat,oscar_win,oscar_nominations,oscar_win_count,total_wins,total_nominations,cast_popularity,crew_popularity,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,rotten_tomatoes,metascore,director,genre_id_0,genre_id_1,cast_0,cast_1,cast_2,cast_3,producer_0,producer_1,screenplay_0
0,53939,tt0054326,Sons and Lovers,1960,17323630.07,91033070.26,Best Actor,False,7,1,7,16,21.268000000000004,6.252999999999999,69,18,71,1408,67.0,76.89494163424125,Jack Cardiff,18,,Trevor Howard,Dean Stockwell,Wendy Hiller,Donald Pleasence,,,Gavin Lambert
1,22013,tt0053793,Elmer Gantry,1960,3000000.0,10400000.0,Best Actor,True,5,3,8,13,39.17699999999999,15.157999999999996,72,85,78,10534,94.0,76.89494163424125,Richard Brooks,18,,Burt Lancaster,Jean Simmons,Arthur Kennedy,Dean Jagger,Bernard Smith,,Richard Brooks
2,284,tt0053604,The Apartment,1960,3000000.0,25000000.0,Best Actor,False,10,5,19,8,42.158,40.09100000000002,82,1429,83,165873,93.0,94.0,Billy Wilder,35,18,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Billy Wilder,,
3,18929,tt0053796,The Entertainer,1960,17323630.07,91033070.26,Best Actor,False,1,0,19,4,37.90000000000001,31.63200000000001,62,28,71,3022,77.0,70.0,Tony Richardson,18,10402,Laurence Olivier,Brenda De Banzie,Roger Livesey,Joan Plowright,Harry Saltzman,,John Osborne
4,1908,tt0053946,Inherit the Wind,1960,17323630.07,91033070.26,Best Actor,False,4,0,3,7,73.31999999999998,21.135000000000005,78,252,81,27478,92.0,75.0,Stanley Kramer,18,36,Spencer Tracy,Fredric March,Gene Kelly,Dick York,Stanley Kramer,Herman Shumlin,Nedrick Young
5,72354,tt0054354,Sunrise at Campobello,1960,11092163.186666667,65290865.15,Best Actress,False,4,0,3,3,20.581000000000003,8.248999999999997,58,9,69,1116,88.0,82.0,Vincent J. Donehue,18,36,Ralph Bellamy,Greer Garson,Hume Cronyn,Jean Hagen,Dore Schary,,Dore Schary
6,43047,tt0054353,The Sundowners,1960,11092163.186666667,65290865.15,Best Actress,False,5,0,4,8,32.539,13.122999999999996,67,32,71,3804,75.0,82.0,Fred Zinnemann,12,,Deborah Kerr,Robert Mitchum,Peter Ustinov,Michael Anderson Jr.,Gerry Blattner,,Isobel Lennart
7,284,tt0053604,The Apartment,1960,3000000.0,25000000.0,Best Actress,False,10,5,19,8,42.158,40.09100000000002,82,1429,83,165873,93.0,94.0,Billy Wilder,35,18,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Billy Wilder,,
8,43039,tt0054198,Never on Sunday,1960,151000.0,8000000.0,Best Actress,False,5,1,2,8,21.128000000000007,4.6,71,41,74,5333,67.0,75.06008583690988,Jules Dassin,18,35,Melina Mercouri,Jules Dassin,George Foundas,Titos Vandis,,,
9,23724,tt0053622,Butterfield 8,1960,11092163.186666667,65290865.15,Best Actress,True,2,1,2,6,19.529,11.673999999999998,65,48,64,5863,47.0,48.0,Daniel Mann,18,,Elizabeth Taylor,Laurence Harvey,Eddie Fisher,Dina Merrill,Pandro S. Berman,,John Michael Hayes
10,284,tt0053604,The Apartment,1960,3000000.0,25000000.0,Best Director,True,10,5,19,8,42.158,40.09100000000002,82,1429,83,165873,93.0,94.0,Billy Wilder,35,18,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Billy Wilder,,
11,43039,tt0054198,Never on Sunday,1960,151000.0,8000000.0,Best Director,False,5,1,2,8,21.128000000000007,4.6,71,41,74,5333,67.0,81.62773722627738,Jules Dassin,18,35,Melina Mercouri,Jules Dassin,George Foundas,Titos Vandis,,,
12,539,tt0054215,Psycho,1960,806947.0,32000000.0,Best Director,False,4,0,5,10,63.715,35.974000000000025,84,7213,85,608728,96.0,97.0,Alfred Hitchcock,27,18,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,Alfred Hitchcock,,Joseph Stefano
13,53939,tt0054326,Sons and Lovers,1960,21492389.0,136493238.82666665,Best Director,False,7,1,7,16,21.268000000000004,6.252999999999999,69,18,71,1408,67.0,81.62773722627738,Jack Cardiff,18,,Trevor Howard,Dean Stockwell,Wendy Hiller,Donald Pleasence,,,Gavin Lambert
14,43047,tt0054353,The Sundowners,1960,21492389.0,136493238.82666665,Best Director,False,5,0,4,8,32.539,13.122999999999996,67,32,71,3804,75.0,82.0,Fred Zinnemann,12,,Deborah Kerr,Robert Mitchum,Peter Ustinov,Michael Anderson Jr.,Gerry Blattner,,Isobel Lennart
15,11209,tt0053580,The Alamo,1960,12000000.0,7900000.0,Best Picture,False,7,1,6,8,47.97400000000001,18.268,72,215,69,14524,52.0,79.534375,John Wayne,37,,John Wayne,Richard Widmark,Laurence Harvey,Frankie Avalon,John Wayne,James Edward Grant,James Edward Grant
16,284,tt0053604,The Apartment,1960,3000000.0,25000000.0,Best Picture,True,10,5,19,8,42.158,40.09100000000002,82,1429,83,165873,93.0,94.0,Billy Wilder,35,18,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Billy Wilder,,
17,22013,tt0053793,Elmer Gantry,1960,3000000.0,10400000.0,Best Picture,False,5,3,8,13,39.17699999999999,15.157999999999996,72,85,78,10534,94.0,79.534375,Richard Brooks,18,,Burt Lancaster,Jean Simmons,Arthur Kennedy,Dean Jagger,Bernard Smith,,Richard Brooks
18,53939,tt0054326,Sons and Lovers,1960,26532620.19825073,168352727.30612245,Best Picture,False,7,1,7,16,21.268000000000004,6.252999999999999,69,18,71,1408,67.0,79.534375,Jack Cardiff,18,,Trevor Howard,Dean Stockwell,Wendy Hiller,Donald Pleasence,,,Gavin Lambert
19,43047,tt0054353,The Sundowners,1960,26532620.19825073,168352727.30612245,Best Picture,False,5,0,4,8,32.539,13.122999999999996,67,32,71,3804,75.0,82.0,Fred Zinnemann,12,,Deborah Kerr,Robert Mitchum,Peter Ustinov,Michael Anderson Jr.,Gerry Blattner,,Isobel Lennart
20,22013,tt0053793,Elmer Gantry,1960,3000000.0,10400000.0,Best Adapted Screenplay,True,5,3,8,13,39.17699999999999,15.157999999999996,72,85,78,10534,94.0,79.88306451612904,Richard Brooks,18,,Burt Lancaster,Jean Simmons,Arthur Kennedy,Dean Jagger,Bernard Smith,,Richard Brooks
21,1908,tt0053946,Inherit the Wind,1960,17194711.416666668,89910163.27666667,Best Adapted Screenplay,False,4,0,3,7,73.31999999999998,21.135000000000005,78,252,81,27478,92.0,75.0,Stanley Kramer,18,36,Spencer Tracy,Fredric March,Gene Kelly,Dick York,Stanley Kramer,Herman Shumlin,Nedrick Young
22,53939,tt0054326,Sons and Lovers,1960,17194711.416666668,89910163.27666667,Best Adapted Screenplay,False,7,1,7,16,21.268000000000004,6.252999999999999,69,18,71,1408,67.0,79.88306451612904,Jack Cardiff,18,,Trevor Howard,Dean Stockwell,Wendy Hiller,Donald Pleasence,,,Gavin Lambert
23,43047,tt0054353,The Sundowners,1960,17194711.416666668,89910163.27666667,Best Adapted Screenplay,False,5,0,4,8,32.539,13.122999999999996,67,32,71,3804,75.0,82.0,Fred Zinnemann,12,,Deborah Kerr,Robert Mitchum,Peter Ustinov,Michael Anderson Jr.,Gerry Blattner,,Isobel Lennart
24,43048,tt0054412,Tunes of Glory,1960,17194711.416666668,89910163.27666667,Best Adapted Screenplay,False,1,0,4,6,25.474,10.133,69,31,75,3651,75.0,79.88306451612904,Ronald Neame,18,,Alec Guinness,John Mills,Dennis Price,Kay Walsh,Colin Lesslie,,
25,83995,tt0053602,The Angry Silence,1960,15385526.386440678,97660240.8,Best Original Screenplay,False,1,0,5,5,53.59800000000002,20.993000000000013,71,18,73,1213,80.0,79.88306451612904,Guy Green,18,,Richard Attenborough,Pier Angeli,Michael Craig,Bernard Lee,Richard Attenborough,Bryan Forbes,Michael Craig
26,284,tt0053604,The Apartment,1960,3000000.0,25000000.0,Best Original Screenplay,True,10,5,19,8,42.158,40.09100000000002,82,1429,83,165873,93.0,94.0,Billy Wilder,35,18,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Billy Wilder,,
