,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_category,nominee,oscar_win,no_oscar_wins,no_oscar_nominations,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,rotten_tomatoes_rating,metascore,total_wins,total_nominations,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
13,53939,tt0054326,1960,1961,Sons and Lovers,Best Director,Jack Cardiff,False,1.0,7,"['Trevor Howard', 'Dean Stockwell', 'Wendy Hiller', 'Donald Pleasence']",28.382,Jack Cardiff,[],['Gavin Lambert'],4.7719999999999985,21584336.78929766,137372592.5050167,103,69,18,71,1416,67.0,82.05860805860806,7,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,43047,tt0054353,1960,1961,The Sundowners,Best Director,Fred Zinnemann,False,0.0,5,"['Deborah Kerr', 'Robert Mitchum', 'Peter Ustinov', 'Michael Anderson Jr.']",33.284,Fred Zinnemann,['Gerry Blattner'],['Isobel Lennart'],14.565999999999995,21584336.78929766,137372592.5050167,133,67,32,71,3804,75.0,82.0,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,11209,tt0053580,1960,1961,The Alamo,Best Picture,"John Wayne, Producer",False,1.0,7,"['John Wayne', 'Richard Widmark', 'Laurence Harvey', 'Frankie Avalon']",59.655,John Wayne,"['John Wayne', 'James Edward Grant', 'Michael Wayne']",['James Edward Grant'],19.843000000000004,12000000.0,7900000.0,167,72,216,69,14524,52.0,79.859375,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,284,tt0053604,1960,1961,The Apartment,Best Picture,"Billy Wilder, Producer",True,5.0,10,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",51.102,Billy Wilder,['Billy Wilder'],[],35.907000000000025,3000000.0,25000000.0,125,82,1437,83,166775,93.0,94.0,19,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
17,22013,tt0053793,1960,1961,Elmer Gantry,Best Picture,"Bernard Smith, Producer",False,3.0,5,"['Burt Lancaster', 'Jean Simmons', 'Arthur Kennedy', 'Dean Jagger']",48.935,Richard Brooks,['Bernard Smith'],['Richard Brooks'],15.674999999999995,3000000.0,10400000.0,146,73,87,78,10534,94.0,79.859375,8,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,53939,tt0054326,1960,1961,Sons and Lovers,Best Picture,"Jerry Wald, Producer",False,1.0,7,"['Trevor Howard', 'Dean Stockwell', 'Wendy Hiller', 'Donald Pleasence']",28.382,Jack Cardiff,[],['Gavin Lambert'],4.7719999999999985,26550112.909620993,168721338.12536442,103,69,18,71,1416,67.0,79.859375,7,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,43047,tt0054353,1960,1961,The Sundowners,Best Picture,"Fred Zinnemann, Producer",False,0.0,5,"['Deborah Kerr', 'Robert Mitchum', 'Peter Ustinov', 'Michael Anderson Jr.']",33.284,Fred Zinnemann,['Gerry Blattner'],['Isobel Lennart'],14.565999999999995,26550112.909620993,168721338.12536442,133,67,32,71,3804,75.0,82.0,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,22013,tt0053793,1960,1961,Elmer Gantry,Best Adapted Screenplay,Richard Brooks,True,3.0,5,"['Burt Lancaster', 'Jean Simmons', 'Arthur Kennedy', 'Dean Jagger']",48.935,Richard Brooks,['Bernard Smith'],['Richard Brooks'],15.674999999999995,3000000.0,10400000.0,146,73,87,78,10534,94.0,79.88306451612904,8,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,1908,tt0053946,1960,1961,Inherit the Wind,Best Adapted Screenplay,"Nedrick Young, Harold Jacob Smith",False,0.0,4,"['Spencer Tracy', 'Fredric March', 'Gene Kelly', 'Dick York']",80.67799999999997,Stanley Kramer,"['Stanley Kramer', 'Herman Shumlin']","['Nedrick Young', 'Harold Jacob Smith']",23.51500000000001,17214711.416666668,90331608.31333333,128,78,254,81,27672,92.0,75.0,3,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
22,53939,tt0054326,1960,1961,Sons and Lovers,Best Adapted Screenplay,"Gavin Lambert, T. E. B. Clarke",False,1.0,7,"['Trevor Howard', 'Dean Stockwell', 'Wendy Hiller', 'Donald Pleasence']",28.382,Jack Cardiff,[],['Gavin Lambert'],4.7719999999999985,17214711.416666668,90331608.31333333,103,69,18,71,1416,67.0,79.88306451612904,7,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,43047,tt0054353,1960,1961,The Sundowners,Best Adapted Screenplay,Isobel Lennart,False,0.0,5,"['Deborah Kerr', 'Robert Mitchum', 'Peter Ustinov', 'Michael Anderson Jr.']",33.284,Fred Zinnemann,['Gerry Blattner'],['Isobel Lennart'],14.565999999999995,17214711.416666668,90331608.31333333,133,67,32,71,3804,75.0,82.0,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,43048,tt0054412,1960,1961,Tunes of Glory,Best Adapted Screenplay,James Kennaway,False,0.0,1,"['Alec Guinness', 'John Mills', 'Dennis Price', 'Kay Walsh']",26.539,Ronald Neame,['Colin Lesslie'],[],9.590999999999998,17214711.416666668,90331608.31333333,106,69,31,75,3651,75.0,79.88306451612904,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,83995,tt0053602,1960,1961,The Angry Silence,Best Original Screenplay,"Story by Richard Gregson, Michael Craig;  Screenplay by Bryan Forbes",False,0.0,1,"['Richard Attenborough', 'Pier Angeli', 'Michael Craig', 'Bernard Lee']",59.15700000000003,Guy Green,"['Richard Attenborough', 'Bryan Forbes']","['Michael Craig', 'Richard Gregson']",26.556000000000008,15388238.250847457,97660251.58644068,95,71,18,73,1225,80.0,79.88306451612904,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,284,tt0053604,1960,1961,The Apartment,Best Original Screenplay,"Billy Wilder, I. A. L. Diamond",True,5.0,10,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",51.102,Billy Wilder,['Billy Wilder'],[],35.907000000000025,3000000.0,25000000.0,125,82,1437,83,166775,93.0,94.0,19,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
27,39219,tt0053810,1960,1961,The Facts of Life,Best Original Screenplay,"Norman Panama, Melvin Frank",False,1.0,5,"['Bob Hope', 'Lucille Ball', 'Ruth Hussey', 'Don DeFore']",25.340999999999998,Melvin Frank,['Norman Panama'],"['Melvin Frank', 'Norman Panama']",35.46900000000002,15388238.250847457,97660251.58644068,103,52,18,65,1350,61.0,79.88306451612904,19,11,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
28,43039,tt0054198,1960,1961,Never on Sunday,Best Original Screenplay,Jules Dassin,False,1.0,5,"['Melina Mercouri', 'Jules Dassin', 'George Foundas', 'Titos Vandis']",20.280000000000005,Jules Dassin,[],[],6.607999999999999,151000.0,8000000.0,91,71,42,74,5333,67.0,79.88306451612904,2,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
29,84050,tt0054866,1961,1962,Fanny,Best Actor,Charles Boyer,False,0.0,5,"['Leslie Caron', 'Maurice Chevalier', 'Charles Boyer', 'Horst Buchholz']",17.332,Joshua Logan,['Joshua Logan'],['Julius J. Epstein'],16.811,17310296.73666667,91562476.49333334,134,69,21,69,2000,68.0,77.06614785992218,2,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
