,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_win,oscar_category,nominee,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,revenue,rotten_tomatoes_rating,metascore,total_wins,no_oscar_nominations,total_nominations
0,583406,tt9784798,2020,2021,Judas and the Black Messiah,FALSE,Best Original Screenplay,"Screenplay: Will Berson & Shaka King; Story: Berson, King, Keith Lucas & Kenny Lucas","[18, 36]","['Daniel Kaluuya', 'Lakeith Stanfield', 'Jesse Plemons', 'Dominique Fishback']",66.215,Shaka King,"['Ryan Coogler', 'Shaka King', 'Charles D. King']","['Shaka King', 'Will Berson']",32.282,26000000,125,75,421,76,27490,4181000,85,85,24,6,51
1,615643,tt10633456,2020,2021,Minari,FALSE,Best Original Screenplay,Lee Isaac Chung,[18],"['Steven Yeun', 'Han Yeri', 'Youn Yuh-jung', 'Will Patton']",44.22,Lee Isaac Chung,"['Dede Gardner', 'Jeremy Kleiner', 'Christina Oh']",[],126.026,2000000,115,77,323,76,30604,485158,89,89,101,6,209
2,582014,tt9620292,2020,2021,Promising Young Woman,FALSE,Best Original Screenplay,Emerald Fennell,"[53, 80, 18]","['Carey Mulligan', 'Bo Burnham', 'Alison Brie', 'Clancy Brown']",95.595,Emerald Fennell,"['Margot Robbie', 'Ben Browning', 'Emerald Fennell', 'Tom Ackerley', 'Josey McNamara', 'Ashley Fox']",[],155.232,7500000,114,76,761,75,72057,12500000,73,73,101,5,167
3,502033,tt5363618,2020,2021,Sound of Metal,FALSE,Best Original Screenplay,Screenplay: Abraham & Darius Marder; Story: Derek Cianfrance & D. Marder,"[18, 10402]","['Riz Ahmed', 'Olivia Cooke', 'Paul Raci', 'Lauren Ridloff']",45.078,Darius Marder,"['Bert Hamelinck', 'Bill Benz', 'Sacha Ben Harroche', 'Kathy Benz']","['Darius Marder', 'Abraham Marder']",86.194,0,121,78,935,78,58498,174936,97,82,74,6,159
4,556984,tt1070874,2020,2021,The Trial of the Chicago 7,FALSE,Best Original Screenplay,Aaron Sorkin,"[18, 36]","['Yahya Abdul-Mateen II', 'Sacha Baron Cohen', 'Joseph Gordon-Levitt', 'Michael Keaton']",143.464,Aaron Sorkin,"['Marc Platt', 'Tyler Thompson', 'Matt Jackson', 'Stuart Besser']",['Aaron Sorkin'],32.899,35000000,130,78,1614,78,127702,107423,76,76,49,6,182
