,year_film,nominee,oscar_category,index,oscar_win,film,movie_id,genre_id,vote_average,budget,revenue,release_date,runtime
205,1994,Woody Allen,Best Director,7360,False,Bullets over Broadway,11382,"[28, 35, 53]",7.2,0.0,0.0,1994-10-14,98.0
206,1994,Robert Zemeckis,Best Director,7361,True,Forrest Gump,13,"[35, 18, 10749]",8.5,55000000.0,677387716.0,1994-07-06,142.0
207,1994,Quentin Tarantino,Best Director,7362,False,Pulp Fiction,680,"[53, 80]",8.5,8000000.0,214179088.0,1994-09-10,154.0
208,1994,Robert Redford,Best Director,7363,False,Quiz Show,11450,"[36, 18]",7.3,0.0,0.0,1994-08-25,133.0
209,1994,Krzysztof Kieslowski,Best Director,7364,False,Red,0,,,,,,
210,1994,Arthur Schmidt,Best Film Editing,7375,True,Forrest Gump,13,"[35, 18, 10749]",8.5,55000000.0,677387716.0,1994-07-06,142.0
211,1994,"Frederick Marx, Steve James, Bill Haugse",Best Film Editing,7376,False,Hoop Dreams,14275,[99],7.7,700000.0,7830611.0,1994-09-12,174.0
212,1994,Sally Menke,Best Film Editing,7377,False,Pulp Fiction,680,"[53, 80]",8.5,8000000.0,214179088.0,1994-09-10,154.0
213,1994,Richard Francis-Bruce,Best Film Editing,7378,False,The Shawshank Redemption,278,"[18, 80]",8.7,25000000.0,28341469.0,1994-09-23,142.0
214,1994,John Wright,Best Film Editing,7379,False,Speed,1637,"[28, 12, 80]",7.0,30000000.0,350448145.0,1994-06-09,116.0
215,1994,Alan Silvestri,Best Original Score,7388,False,Forrest Gump,13,"[35, 18, 10749]",8.5,55000000.0,677387716.0,1994-07-06,142.0
216,1994,Elliot Goldenthal,Best Original Score,7389,False,Interview with the Vampire,628,"[27, 18, 14]",7.4,60000000.0,223664608.0,1994-11-11,123.0
217,1994,Hans Zimmer,Best Original Score,7390,True,The Lion King,8587,"[10751, 16, 18]",8.3,45000000.0,763455561.0,1994-06-23,89.0
218,1994,Thomas Newman,Best Original Score,7391,False,Little Women,9587,"[18, 10749]",7.3,18000000.0,50083616.0,1994-12-21,115.0
219,1994,Thomas Newman,Best Original Score,7392,False,The Shawshank Redemption,278,"[18, 80]",8.7,25000000.0,28341469.0,1994-09-23,142.0
220,1994,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",Best Pictre,7398,True,Forrest Gump,13,"[35, 18, 10749]",8.5,55000000.0,677387716.0,1994-07-06,142.0
221,1994,"Duncan Kenworthy, Producer",Best Pictre,7399,False,Four Weddings and a Funeral,712,"[35, 18, 10749]",6.7,6000000.0,254700832.0,1994-03-09,117.0
222,1994,"Lawrence Bender, Producer",Best Pictre,7400,False,Pulp Fiction,680,"[53, 80]",8.5,8000000.0,214179088.0,1994-09-10,154.0
223,1994,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers",Best Pictre,7401,False,Quiz Show,11450,"[36, 18]",7.3,0.0,0.0,1994-08-25,133.0
224,1994,"Niki Marvin, Producer",Best Pictre,7402,False,The Shawshank Redemption,278,"[18, 80]",8.7,25000000.0,28341469.0,1994-09-23,142.0
225,1995,Nicolas Cage,Best Actor,7437,True,Leaving Las Vegas,451,"[18, 10749]",7.3,3600000.0,49800000.0,1995-10-27,111.0
226,1995,Richard Dreyfuss,Best Actor,7438,False,Mr. Holland's Opus,2054,"[18, 10402, 10751]",7.0,23000000.0,106269971.0,1995-12-29,137.0
227,1995,Anthony Hopkins,Best Actor,7439,False,Nixon,10858,"[36, 18]",6.8,44000000.0,13681765.0,1995-12-22,192.0
228,1995,Sean Penn,Best Actor,7440,False,Dead Man Walking,687,[18],7.4,11000000.0,39363635.0,1995-12-29,122.0
229,1995,Massimo Troisi,Best Actor,7441,False,The Postman,11010,"[35, 18, 10749]",8.0,0.0,0.0,1994-04-07,108.0
230,1995,James Cromwell,Best Supporting Actor,7442,False,Babe,9598,"[14, 18, 35, 10751]",6.1,30000000.0,254134910.0,1995-07-18,91.0
231,1995,Ed Harris,Best Supporting Actor,7443,False,Apollo 13,568,"[18, 36]",7.4,52000000.0,355237933.0,1995-06-30,140.0
232,1995,Brad Pitt,Best Supporting Actor,7444,False,12 Monkeys,63,"[878, 53, 9648]",7.6,29000000.0,168841459.0,1995-12-29,129.0
233,1995,Tim Roth,Best Supporting Actor,7445,False,Rob Roy,11780,"[12, 36, 10752, 18]",6.8,28000000.0,31596911.0,1995-04-13,139.0
