,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_win,oscar_category,nominee,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,revenue,rotten_tomatoes_rating,metascore,total_wins,no_oscar_nominations,total_nominations,Crime,Drama,History,Music,Thriller,Western,Action,Adventure,Animation,Comedy,Family,Fantasy,Horror,Mystery,Romance,Science Fiction,War
0,600354,tt10272386,2020,2021,The Father,False,Best Picture,"David Parfitt, Jean-Louis Livi, and Philippe Carcassonne","['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss', 'Olivia Williams']",58.846,Florian Zeller,"['David Parfitt', 'Philippe Carcassonne', 'Jean-Louis Livi', 'Christophe Spadone', 'Simon Friend']","['Christopher Hampton', 'Florian Zeller']",22.38300000000001,0,97,83,406,83,33543,924803,88,88,24,6,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,583406,tt9784798,2020,2021,Judas and the Black Messiah,False,Best Picture,"Shaka King, Charles D. King, and Ryan Coogler","['Daniel Kaluuya', 'Lakeith Stanfield', 'Jesse Plemons', 'Dominique Fishback']",66.21500000000002,Shaka King,"['Ryan Coogler', 'Shaka King', 'Charles D. King']","['Shaka King', 'Will Berson']",32.282000000000004,26000000,125,75,421,76,27490,4181000,85,85,24,6,51,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,614560,tt10618286,2020,2021,Mank,False,Best Picture,"Ceán Chaffin, Eric Roth, and Douglas Urbanski","['Gary Oldman', 'Amanda Seyfried', 'Lily Collins', 'Tom Pelphrey']",144.43599999999986,David Fincher,"['Eric Roth', 'Ceán Chaffin', 'Douglas Urbanski']",['Jack Fincher'],36.52400000000001,20000000,133,70,820,70,53366,100000,79,79,47,10,255,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,615643,tt10633456,2020,2021,Minari,False,Best Picture,Christina Oh,"['Steven Yeun', 'Han Yeri', 'Youn Yuh-jung', 'Will Patton']",44.22000000000001,Lee Isaac Chung,"['Dede Gardner', 'Jeremy Kleiner', 'Christina Oh']",[],126.02599999999948,2000000,115,77,323,76,30604,485158,89,89,101,6,209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,581734,tt9770150,2020,2021,Nomadland,False,Best Picture,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey, and Chloé Zhao","['Frances McDormand', 'David Strathairn', 'Linda May', 'Swankie']",46.505000000000045,Chloé Zhao,"['Frances McDormand', 'Peter Spears', 'Dan Janvey', 'Mollye Asher', 'Chloé Zhao']",['Chloé Zhao'],72.53799999999998,5000000,108,75,513,75,54847,2143000,93,93,216,6,140,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,582014,tt9620292,2020,2021,Promising Young Woman,False,Best Picture,"Ben Browning, Ashley Fox, Emerald Fennell, and Josey McNamara","['Carey Mulligan', 'Bo Burnham', 'Alison Brie', 'Clancy Brown']",97.65899999999992,Emerald Fennell,"['Margot Robbie', 'Ben Browning', 'Emerald Fennell', 'Tom Ackerley', 'Josey McNamara', 'Ashley Fox']",[],161.20699999999925,0,114,76,761,75,72057,2707180,73,73,101,5,167,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,502033,tt5363618,2020,2021,Sound of Metal,False,Best Picture,Bert Hamelinck and Sacha Ben Harroche,"['Riz Ahmed', 'Olivia Cooke', 'Paul Raci', 'Lauren Ridloff']",45.07800000000002,Darius Marder,"['Bert Hamelinck', 'Bill Benz', 'Sacha Ben Harroche', 'Kathy Benz']","['Darius Marder', 'Abraham Marder']",86.19399999999986,0,121,78,935,78,58498,5595,97,82,74,6,159,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,556984,tt1070874,2020,2021,The Trial of the Chicago 7,False,Best Picture,Marc Platt and Stuart M. Besser,"['Yahya Abdul-Mateen II', 'Sacha Baron Cohen', 'Joseph Gordon-Levitt', 'Michael Keaton']",141.6489999999998,Aaron Sorkin,"['Marc Platt', 'Tyler Thompson', 'Matt Jackson', 'Stuart Besser']",['Aaron Sorkin'],33.58500000000001,35000000,130,78,1614,78,127702,107423,76,76,49,6,182,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
