,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_win,oscar_category,nominee,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,revenue,rotten_tomatoes_rating,metascore,total_wins,no_oscar_nominations,total_nominations
0,615667,tt10514222,2020,2021,Ma Rainey's Black Bottom,FALSE,Best Actress,Viola Davis,"[18, 10402]","['Viola Davis', 'Chadwick Boseman', 'Glynn Turman', 'Colman Domingo']",44.638,George C. Wolfe,"['Denzel Washington', 'Dany Wolf', 'Todd Black']",[],50.83,21000000,94,68,592,70,35817,0,87,87,74,5,182
1,566076,tt8521718,2020,2021,The United States vs. Billie Holiday,FALSE,Best Actress,Andra Day,"[10402, 18, 36]","['Andra Day', 'Trevante Rhodes', 'Garrett Hedlund', 'Leslie Jordan']",88.485,Lee Daniels,"['Lee Daniels', 'Joe Roth', 'Jeff Kirschenbaum', 'Tucker Tooley', 'Pamela Oas Williams', 'Jordan Fudge']",['Suzan-Lori Parks'],232.516,0,131,67,40,63,4991,0,52,52,5,5,19
2,641662,tt11161474,2020,2021,Pieces of a Woman,FALSE,Best Actress,Vanessa Kirby,[18],"['Vanessa Kirby', 'Shia LaBeouf', 'Ellen Burstyn', 'Iliza Shlesinger']",58.323,Kornél Mundruczó,"['Aaron Ryder', 'Kevin Turen', 'Ashley Levinson']",['Kata Wéber'],38.31,0,127,71,652,71,35349,0,66,66,5,5,58
3,581734,tt9770150,2020,2021,Nomadland,FALSE,Best Actress,Frances McDormand,"[18, 37]","['Frances McDormand', 'David Strathairn', 'Linda May', 'Swankie']",46.505,Chloé Zhao,"['Frances McDormand', 'Peter Spears', 'Dan Janvey', 'Mollye Asher', 'Chloé Zhao']",['Chloé Zhao'],72.538,5000000,108,75,513,75,54847,2143000,93,93,216,6,140
4,582014,tt9620292,2020,2021,Promising Young Woman,FALSE,Best Actress,Carey Mulligan,"[53, 80, 18]","['Carey Mulligan', 'Bo Burnham', 'Alison Brie', 'Clancy Brown']",95.595,Emerald Fennell,"['Margot Robbie', 'Ben Browning', 'Emerald Fennell', 'Tom Ackerley', 'Josey McNamara', 'Ashley Fox']",[],155.232,7500000,114,76,761,75,72057,12500000,73,73,101,5,167
