,tmdb_id,imdb_id,film,year,nomination_count,oscar_cat,oscar_win,casts_popularity,crew_popularity,tmdb_vote_average,tmdb_vote_count,director,genre_id_0,genre_id_1,starring_0,starring_1,starring_2,starring_3,producer_0,producer_1,screenplay_0
10,284,tt0053604,The Apartment,1960,10,Best Director,True,42.158,40.09100000000002,8.2,1429,Billy Wilder,35,18,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Billy Wilder,,
11,43039,tt0054198,Never on Sunday,1960,5,Best Director,False,21.128000000000007,4.6,7.1,41,Jules Dassin,18,35,Melina Mercouri,Jules Dassin,George Foundas,Titos Vandis,,,
12,539,tt0054215,Psycho,1960,4,Best Director,False,63.715,36.21400000000003,8.4,7213,Alfred Hitchcock,27,18,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,Alfred Hitchcock,,Joseph Stefano
13,53939,tt0054326,Sons and Lovers,1960,7,Best Director,False,21.268000000000004,6.252999999999999,6.9,18,Jack Cardiff,18,,Trevor Howard,Dean Stockwell,Wendy Hiller,Donald Pleasence,,,Gavin Lambert
14,43047,tt0054353,The Sundowners,1960,5,Best Director,False,32.539,13.122999999999996,6.7,32,Fred Zinnemann,12,,Deborah Kerr,Robert Mitchum,Peter Ustinov,Michael Anderson Jr.,Gerry Blattner,,Isobel Lennart
15,11209,tt0053580,The Alamo,1960,7,Best Picture,False,47.97400000000001,18.268,7.2,215,John Wayne,37,,John Wayne,Richard Widmark,Laurence Harvey,Frankie Avalon,John Wayne,James Edward Grant,James Edward Grant
16,284,tt0053604,The Apartment,1960,10,Best Picture,True,42.158,40.09100000000002,8.2,1429,Billy Wilder,35,18,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Billy Wilder,,
17,22013,tt0053793,Elmer Gantry,1960,5,Best Picture,False,39.17699999999999,15.157999999999996,7.2,85,Richard Brooks,18,,Burt Lancaster,Jean Simmons,Arthur Kennedy,Dean Jagger,Bernard Smith,,Richard Brooks
18,53939,tt0054326,Sons and Lovers,1960,7,Best Picture,False,21.268000000000004,6.252999999999999,6.9,18,Jack Cardiff,18,,Trevor Howard,Dean Stockwell,Wendy Hiller,Donald Pleasence,,,Gavin Lambert
19,43047,tt0054353,The Sundowners,1960,5,Best Picture,False,32.539,13.122999999999996,6.7,32,Fred Zinnemann,12,,Deborah Kerr,Robert Mitchum,Peter Ustinov,Michael Anderson Jr.,Gerry Blattner,,Isobel Lennart
20,22013,tt0053793,Elmer Gantry,1960,5,Best Adapted Screenplay,True,39.17699999999999,15.157999999999996,7.2,85,Richard Brooks,18,,Burt Lancaster,Jean Simmons,Arthur Kennedy,Dean Jagger,Bernard Smith,,Richard Brooks
21,1908,tt0053946,Inherit the Wind,1960,4,Best Adapted Screenplay,False,73.31999999999998,21.135000000000005,7.8,252,Stanley Kramer,18,36,Spencer Tracy,Fredric March,Gene Kelly,Dick York,Stanley Kramer,Herman Shumlin,Nedrick Young
22,53939,tt0054326,Sons and Lovers,1960,7,Best Adapted Screenplay,False,21.268000000000004,6.252999999999999,6.9,18,Jack Cardiff,18,,Trevor Howard,Dean Stockwell,Wendy Hiller,Donald Pleasence,,,Gavin Lambert
23,43047,tt0054353,The Sundowners,1960,5,Best Adapted Screenplay,False,32.539,13.122999999999996,6.7,32,Fred Zinnemann,12,,Deborah Kerr,Robert Mitchum,Peter Ustinov,Michael Anderson Jr.,Gerry Blattner,,Isobel Lennart
24,43048,tt0054412,Tunes of Glory,1960,1,Best Adapted Screenplay,False,25.474,10.133,6.9,31,Ronald Neame,18,,Alec Guinness,John Mills,Dennis Price,Kay Walsh,Colin Lesslie,,
25,83995,tt0053602,The Angry Silence,1960,1,Best Original Screenplay,False,53.59800000000002,20.993000000000013,7.1,18,Guy Green,18,,Richard Attenborough,Pier Angeli,Michael Craig,Bernard Lee,Richard Attenborough,Bryan Forbes,Michael Craig
26,284,tt0053604,The Apartment,1960,10,Best Original Screenplay,True,42.158,40.09100000000002,8.2,1429,Billy Wilder,35,18,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Billy Wilder,,
27,39219,tt0053810,The Facts of Life,1960,5,Best Original Screenplay,False,25.046999999999997,13.722999999999999,5.2,18,Melvin Frank,35,18,Bob Hope,Lucille Ball,Ruth Hussey,Don DeFore,Norman Panama,,Melvin Frank
28,43039,tt0054198,Never on Sunday,1960,5,Best Original Screenplay,False,21.128000000000007,4.6,7.1,41,Jules Dassin,18,35,Melina Mercouri,Jules Dassin,George Foundas,Titos Vandis,,,
29,84050,tt0054866,Fanny,1961,5,Best Actor,False,16.936,14.773999999999996,6.9,21,Joshua Logan,18,10749,Leslie Caron,Maurice Chevalier,Charles Boyer,Horst Buchholz,Joshua Logan,,Julius J. Epstein
