,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
3272,False,/nU4o2WDFKG18FZMC5XHrR2Dndjv.jpg,[18],517815,de,Das Mädchen und die Spinne,"Lisa is moving. Upheaval all around: Her mother flirts with a handyman. An eccentric woman seems to be preparing for a glamorous event. A family next door returns from vacation. And a girl documents the adventurous day. As boxes are transported, walls painted white, and furniture is assembled, underlying problems in need of fixing are revealed, a to-do list expands, and desires and needs flair up... A tragicomic catastrophe film. A poetic ballad about change and transience. After The Strange Little Cat, this is the second part of a planned trilogy about human togetherness.",3.28,/czTPiQpf2Ysy0YM5BZHOf6kmOdi.jpg,2021-03-02,The Girl and the Spider,False,0.0,0
3273,False,/aHQWDzcgcs2vG8GxpdCehlgzSCO.jpg,[18],632311,en,I Was a Simple Man,"A ghost story set in the pastoral countryside of the north shore of O‘ahu, Hawai‘i. Told in four chapters, it tells the story of an elderly man facing the end of his life, visited by the ghosts of his past.",3.658,/rrfQ2TAkV8vhDzZA9Y4Wm4fBUsP.jpg,2021-01-29,I Was a Simple Man,False,5.7,3
3274,False,/epca6A20QO0XPGxz9iL2aiOvYDu.jpg,"[27, 9648]",110899,ja,ツィゴイネルワイゼン,A surreal period film following an university professor and his eerie nomad friend as they go through loose romantic triangles and face death in peculiar ways.,2.452,/10f3WBYxo8X7nAfL7LarL5B3j8E.jpg,1980-04-01,Zigeunerweisen,False,6.6,27
3275,False,/9nUWaMFMZmNeYyqyFWjKzhWFk2z.jpg,[18],103972,da,Labrador,"A desolate, windswept island. Stella and Oskar, a young couple, visit Stella's father Nathan who lives alone with his labrador. Stella is pregnant and looking forward to having a baby, but Oskar appears to have doubts. When Oskar falls prey to Nathan's provocations and feels bewildered by the relationship between father and daughter, a clash between the two men is inevitable, and Stella is caught in between.",2.856,/xbQFsDH8fLj8TlsmROG4nNT5iJ2.jpg,2011-05-13,Out of Bounds,False,5.4,7
3276,False,,[16],803622,ru,Рога,Short story about guy with horns,3.055,/wzk497ewaSgQJmsgSaENQpb4HGY.jpg,2021-03-07,Horns,False,0.0,0
3277,False,,[35],713614,cs,Můžem i s mužem,,2.192,,2021-03-11,Můžem i s mužem,False,0.0,0
3278,False,,"[14, 10751]",649038,cs,Největší dar,"In ancient times, our land was ruled by pagan gods and goddesses. But what happens when they start getting involved in people's lives and vice versa? Will Morena, the goddess of winter, win, or will she be defeated by the goddesses of spring, summer and autumn?",2.566,,2021-04-08,The Greatest Gift,False,0.0,0
3279,False,/xVc1oIbw4MXdiCeNcl7MvAY7BrL.jpg,[18],713743,fr,Acte(s),"A young man returning from the demonstration crosses a woman in his car, listening to the radio. Dominique Laporte, collapsologist, reacts to this event.",2.392,/A0pYVajpFthHreIfTbrLnatI2NX.jpg,2021-03-12,Act(s),False,7.0,2
3280,False,,[18],788669,en,Ο Άνθρωπος με τις Απαντήσεις,"Twenty-something Victor is an ex-diving champ living with his grandmother in a seaside town in Greece. After the sudden death of his grandmother, he jumps into a dusty old car and begins a road trip to Germany. On a boat ride in Italy he meets Matthias, a handsome, free-spirited German headed back home, who charms the uptight Victor into giving him a ride.The odd couple embark on a road trip that takes them through the stunning mountain scenery of Italy. Through many twists and turns, the two men are pushed out of their comfort zones, and must come face to face with their growing attraction for one another. As their destination looms on the horizon, will they find the answers they are looking for, in each other?",3.032,/4RYQNxue7BbgiAiMj82WBJNbrMk.jpg,2021-02-22,The Man with the Answers,False,0.0,0
3281,False,/fnxAwJ24zw4Cem2uNN98WfB04Au.jpg,[99],659707,fi,Tunturin tarina,"Tale of the Sleeping Giant is a movie filmed entirely in Lapland in the most mythical wilderness: the mountains, lakes and rivers of Lapland. It is a journey into the rich mythology of ancient Scandinavians and Lapps told in the form of a nature movie.",2.351,/i7gVa5haNRR8a1ub2w3g7V5p9Br.jpg,2020-12-25,Tale of the Sleeping Giant,False,0.0,0
3282,False,,[99],620256,en,Long Gone Wild,"Long Gone Wild focuses on the plight of captive orcas, picking up where the acclaimed documentary Blackfish left off while telling a uniquely new and different story...",2.662,/xsNFu3grIc0oClz5hqUR3I1nCcq.jpg,2019-02-01,Long Gone Wild,False,0.0,0
3283,False,/T6Z2uWPPGa0fzXgbLdEKlps535.jpg,[35],773147,it,Genitori vs influencer,,2.458,/mlqpqrjjZc97e4MQsYLq0wJ5xhW.jpg,2021-04-04,Genitori vs influencer,False,0.0,0
3284,False,/3X43JVVoRGINl20ipuQEPn0oIKi.jpg,"[27, 53]",799534,pt,Conexão Macabra,,2.499,/laCWGx1yIsQPejNpsfmdA3aQbHC.jpg,2021-03-13,Conexão Macabra,False,0.0,0
