,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_win,oscar_category,nominee,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,revenue,rotten_tomatoes_rating,metascore,total_wins,no_oscar_nominations,total_nominations
0,740985,tt13143964,2020,2021,Borat Subsequent Moviefilm,FALSE,Best Adapted Screenplay,"Screenplay: Sacha Baron Cohen, Peter Baynham, Jena Friedman, Anthony Hines, Lee Kern, Dan Mazer, Erica Rivinoja & Dan Swimer; Story: Baron Cohen, Hines, Nina Pedrad & Swimer",[35],"['Sacha Baron Cohen', 'Maria Bakalova', 'Tom Hanks', 'Dani Popescu']",37.786,Jason Woliner,"['Sacha Baron Cohen', 'Anthony Hines', 'Monica Levinson']","['Sacha Baron Cohen', 'Anthony Hines', 'Peter Baynham', 'Dan Mazer', 'Erica Rivinoja', 'Dan Swimer', 'Jena Friedman', 'Lee Kern']",92.195,15000000,96,65,1498,67,118249,0,68,68,35,2,58
1,600354,tt10272386,2020,2021,The Father,FALSE,Best Adapted Screenplay,Christopher Hampton & Florian Zeller,[18],"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss', 'Olivia Williams']",58.846,Florian Zeller,"['David Parfitt', 'Philippe Carcassonne', 'Jean-Louis Livi', 'Christophe Spadone', 'Simon Friend']","['Christopher Hampton', 'Florian Zeller']",22.383,20000000,97,83,406,83,33543,5100000,88,88,24,6,127
2,581734,tt9770150,2020,2021,Nomadland,FALSE,Best Adapted Screenplay,Chloé Zhao,"[18, 37]","['Frances McDormand', 'David Strathairn', 'Linda May', 'Swankie']",46.505,Chloé Zhao,"['Frances McDormand', 'Peter Spears', 'Dan Janvey', 'Mollye Asher', 'Chloé Zhao']",['Chloé Zhao'],72.538,5000000,108,75,513,75,54847,2143000,93,93,216,6,140
3,661914,tt10612922,2020,2021,One Night in Miami...,FALSE,Best Adapted Screenplay,Kemp Powers,[18],"['Kingsley Ben-Adir', 'Eli Goree', 'Aldis Hodge', 'Leslie Odom Jr.']",63.6,Regina King,"['Keith Calder', 'Jess Calder', 'Jody Klein']",['Kemp Powers'],26.166,16900000,114,72,356,72,19964,0,83,83,54,3,179
4,628534,tt6571548,2020,2021,The White Tiger,FALSE,Best Adapted Screenplay,Ramin Bahrani,"[80, 18]","['Adarsh Gourav', 'Rajkummar Rao', 'Priyanka Chopra', 'Mahesh Manjrekar']",22.059,Ramin Bahrani,"['Ava DuVernay', 'Mukul Deora']",['Ramin Bahrani'],28.588,0,125,70,451,71,43443,0,76,76,54,3,5
