,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_category,nominee,no_oscar_nominations,oscar_win,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count
20,22013,tt0053793,1960,1961,Elmer Gantry,Best Adapted Screenplay,Richard Brooks,5,True,[18],"['Burt Lancaster', 'Jean Simmons', 'Arthur Kennedy', 'Dean Jagger']",39.17699999999999,Richard Brooks,['Bernard Smith'],['Richard Brooks'],15.157999999999996,3000000,10400000,146,7.2,85
21,1908,tt0053946,1960,1961,Inherit the Wind,Best Adapted Screenplay,"Nedrick Young, Harold Jacob Smith",4,False,"[18, 36]","['Spencer Tracy', 'Fredric March', 'Gene Kelly', 'Dick York']",73.31999999999998,Stanley Kramer,"['Stanley Kramer', 'Herman Shumlin']","['Nedrick Young', 'Harold Jacob Smith']",21.135000000000005,0,0,128,7.8,252
22,53939,tt0054326,1960,1961,Sons and Lovers,Best Adapted Screenplay,"Gavin Lambert, T. E. B. Clarke",7,False,[18],"['Trevor Howard', 'Dean Stockwell', 'Wendy Hiller', 'Donald Pleasence']",21.268000000000004,Jack Cardiff,[],['Gavin Lambert'],6.252999999999999,0,0,103,6.9,18
23,43047,tt0054353,1960,1961,The Sundowners,Best Adapted Screenplay,Isobel Lennart,5,False,[12],"['Deborah Kerr', 'Robert Mitchum', 'Peter Ustinov', 'Michael Anderson Jr.']",32.539,Fred Zinnemann,['Gerry Blattner'],['Isobel Lennart'],13.122999999999996,0,0,133,6.7,32
24,43048,tt0054412,1960,1961,Tunes of Glory,Best Adapted Screenplay,James Kennaway,1,False,[18],"['Alec Guinness', 'John Mills', 'Dennis Price', 'Kay Walsh']",25.473999999999997,Ronald Neame,['Colin Lesslie'],[],10.133,0,0,106,6.9,31
25,83995,tt0053602,1960,1961,The Angry Silence,Best Original Screenplay,"Story by Richard Gregson, Michael Craig;  Screenplay by Bryan Forbes",1,False,[18],"['Richard Attenborough', 'Pier Angeli', 'Michael Craig', 'Bernard Lee']",53.59800000000002,Guy Green,"['Richard Attenborough', 'Bryan Forbes']","['Michael Craig', 'Richard Gregson']",20.99300000000001,0,0,95,7.1,18
26,284,tt0053604,1960,1961,The Apartment,Best Original Screenplay,"Billy Wilder, I. A. L. Diamond",10,True,"[35, 18, 10749]","['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",42.158,Billy Wilder,['Billy Wilder'],[],40.09100000000002,3000000,25000000,125,8.2,1429
27,39219,tt0053810,1960,1961,The Facts of Life,Best Original Screenplay,"Norman Panama, Melvin Frank",5,False,"[35, 18, 10749]","['Bob Hope', 'Lucille Ball', 'Ruth Hussey', 'Don DeFore']",25.047,Melvin Frank,['Norman Panama'],"['Melvin Frank', 'Norman Panama']",13.723,0,0,103,5.2,18
28,43039,tt0054198,1960,1961,Never on Sunday,Best Original Screenplay,Jules Dassin,5,False,"[18, 35, 10749]","['Melina Mercouri', 'Jules Dassin', 'George Foundas', 'Titos Vandis']",21.128000000000007,Jules Dassin,[],[],4.6,151000,8000000,91,7.1,41
29,84050,tt0054866,1961,1962,Fanny,Best Actor,Charles Boyer,5,False,"[18, 10749]","['Leslie Caron', 'Maurice Chevalier', 'Charles Boyer', 'Horst Buchholz']",16.936,Joshua Logan,['Joshua Logan'],['Julius J. Epstein'],14.773999999999996,0,0,134,6.9,21
30,990,tt0054997,1961,1962,The Hustler,Best Actor,Paul Newman,9,False,[18],"['Paul Newman', 'Jackie Gleason', 'Piper Laurie', 'George C. Scott']",31.415000000000006,Robert Rossen,['Robert Rossen'],"['Robert Rossen', 'Sidney Carroll', 'Walter Tevis']",10.451999999999998,2000000,7600000,134,7.8,621
31,821,tt0055031,1961,1962,Judgment at Nuremberg,Best Actor,Maximilian Schell,11,True,"[18, 36]","['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']",79.389,Stanley Kramer,"['Stanley Kramer', 'Philip Langner']",['Abby Mann'],19.904000000000003,3000000,10000000,179,8.0,466
32,821,tt0055031,1961,1962,Judgment at Nuremberg,Best Actor,Spencer Tracy,11,False,"[18, 36]","['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']",79.389,Stanley Kramer,"['Stanley Kramer', 'Philip Langner']",['Abby Mann'],19.904000000000003,3000000,10000000,179,8.0,466
33,153652,tt0055146,1961,1962,The Mark,Best Actor,Stuart Whitman,1,False,[18],"['Maria Schell', 'Stuart Whitman', 'Rod Steiger', 'Brenda De Banzie']",16.654,Guy Green,['Raymond Stross'],"['Sidney Buchman', 'Stanley Mann']",10.387999999999998,0,0,127,6.2,10
34,164,tt0054698,1961,1962,Breakfast at Tiffany's,Best Actress,Audrey Hepburn,5,False,"[35, 18, 10749]","['Audrey Hepburn', 'George Peppard', 'Patricia Neal', 'Buddy Ebsen']",44.30200000000001,Blake Edwards,"['Martin Jurow', 'Richard Shepherd']",['George Axelrod'],23.914,2500000,9500000,114,7.7,3152
35,990,tt0054997,1961,1962,The Hustler,Best Actress,Piper Laurie,9,False,[18],"['Paul Newman', 'Jackie Gleason', 'Piper Laurie', 'George C. Scott']",31.415000000000006,Robert Rossen,['Robert Rossen'],"['Robert Rossen', 'Sidney Carroll', 'Walter Tevis']",10.451999999999998,2000000,7600000,134,7.8,621
36,24167,tt0054749,1961,1962,Two Women,Best Actress,Sophia Loren,1,True,"[18, 10752]","['Sophia Loren', 'Jean-Paul Belmondo', 'Raf Vallone', 'Eleonora Brown']",24.789,Vittorio De Sica,['Carlo Ponti'],['Vittorio De Sica'],12.260999999999996,0,0,100,7.9,342
37,94917,tt0055489,1961,1962,Summer and Smoke,Best Actress,Geraldine Page,4,False,"[18, 10749]","['Laurence Harvey', 'Geraldine Page', 'Rita Moreno', 'John McIntire']",27.737999999999996,Peter Glenville,['Hal B. Wallis'],"['James Poe', 'Meade Roberts']",12.812999999999997,0,0,118,6.7,15
38,28569,tt0055471,1961,1962,Splendor in the Grass,Best Actress,Natalie Wood,2,False,"[18, 10749]","['Natalie Wood', 'Warren Beatty', 'Pat Hingle', 'Audrey Christie']",24.352999999999994,Elia Kazan,"['Elia Kazan', 'Charles H. Maguire', 'William Inge']",[],15.604,0,0,124,7.6,151
39,10911,tt0054953,1961,1962,The Guns of Navarone,Best Director,J. Lee Thompson,7,False,"[10752, 28]","['Gregory Peck', 'David Niven', 'Anthony Quinn', 'Stanley Baker']",47.284000000000006,J. Lee Thompson,['Carl Foreman'],['Carl Foreman'],32.721000000000025,6000000,28900000,158,7.4,473
40,990,tt0054997,1961,1962,The Hustler,Best Director,Robert Rossen,9,False,[18],"['Paul Newman', 'Jackie Gleason', 'Piper Laurie', 'George C. Scott']",31.415000000000006,Robert Rossen,['Robert Rossen'],"['Robert Rossen', 'Sidney Carroll', 'Walter Tevis']",10.451999999999998,2000000,7600000,134,7.8,621
41,821,tt0055031,1961,1962,Judgment at Nuremberg,Best Director,Stanley Kramer,11,False,"[18, 36]","['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']",79.389,Stanley Kramer,"['Stanley Kramer', 'Philip Langner']",['Abby Mann'],19.904000000000003,3000000,10000000,179,8.0,466
42,439,tt0053779,1961,1962,La Dolce Vita,Best Director,Federico Fellini,4,False,"[35, 18]","['Marcello Mastroianni', 'Anita Ekberg', 'Anouk Aimée', 'Yvonne Furneaux']",159.68799999999953,Federico Fellini,"['Giuseppe Amato', 'Angelo Rizzoli']","['Federico Fellini', 'Tullio Pinelli', 'Ennio Flaiano']",52.48800000000002,0,19647000,176,8.2,1195
43,1725,tt0055614,1961,1962,West Side Story,Best Director,"Robert Wise, Jerome Robbins",11,True,"[80, 18, 10749]","['Natalie Wood', 'Richard Beymer', 'Russ Tamblyn', 'Rita Moreno']",43.14800000000003,Jerome Robbins,['Robert Wise'],"['Ernest Lehman', 'Arthur Laurents', 'Jerome Robbins']",43.64900000000004,6000000,43656822,152,7.3,1231
44,84050,tt0054866,1961,1962,Fanny,Best Picture,"Joshua Logan, Producer",5,False,"[18, 10749]","['Leslie Caron', 'Maurice Chevalier', 'Charles Boyer', 'Horst Buchholz']",16.936,Joshua Logan,['Joshua Logan'],['Julius J. Epstein'],14.773999999999996,0,0,134,6.9,21
45,10911,tt0054953,1961,1962,The Guns of Navarone,Best Picture,"Carl Foreman, Producer",7,False,"[10752, 28]","['Gregory Peck', 'David Niven', 'Anthony Quinn', 'Stanley Baker']",47.284000000000006,J. Lee Thompson,['Carl Foreman'],['Carl Foreman'],32.721000000000025,6000000,28900000,158,7.4,473
46,990,tt0054997,1961,1962,The Hustler,Best Picture,"Robert Rossen, Producer",9,False,[18],"['Paul Newman', 'Jackie Gleason', 'Piper Laurie', 'George C. Scott']",31.415000000000006,Robert Rossen,['Robert Rossen'],"['Robert Rossen', 'Sidney Carroll', 'Walter Tevis']",10.451999999999998,2000000,7600000,134,7.8,621
47,821,tt0055031,1961,1962,Judgment at Nuremberg,Best Picture,"Stanley Kramer, Producer",11,False,"[18, 36]","['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']",79.389,Stanley Kramer,"['Stanley Kramer', 'Philip Langner']",['Abby Mann'],19.904000000000003,3000000,10000000,179,8.0,466
48,1725,tt0055614,1961,1962,West Side Story,Best Picture,"Robert Wise, Producer",11,True,"[80, 18, 10749]","['Natalie Wood', 'Richard Beymer', 'Russ Tamblyn', 'Rita Moreno']",43.14800000000003,Jerome Robbins,['Robert Wise'],"['Ernest Lehman', 'Arthur Laurents', 'Jerome Robbins']",43.64900000000004,6000000,43656822,152,7.3,1231
49,164,tt0054698,1961,1962,Breakfast at Tiffany's,Best Adapted Screenplay,George Axelrod,5,False,"[35, 18, 10749]","['Audrey Hepburn', 'George Peppard', 'Patricia Neal', 'Buddy Ebsen']",44.30200000000001,Blake Edwards,"['Martin Jurow', 'Richard Shepherd']",['George Axelrod'],23.914,2500000,9500000,114,7.7,3152
50,10911,tt0054953,1961,1962,The Guns of Navarone,Best Adapted Screenplay,Carl Foreman,7,False,"[10752, 28]","['Gregory Peck', 'David Niven', 'Anthony Quinn', 'Stanley Baker']",47.284000000000006,J. Lee Thompson,['Carl Foreman'],['Carl Foreman'],32.721000000000025,6000000,28900000,158,7.4,473
51,990,tt0054997,1961,1962,The Hustler,Best Adapted Screenplay,"Sidney Carroll, Robert Rossen",9,False,[18],"['Paul Newman', 'Jackie Gleason', 'Piper Laurie', 'George C. Scott']",31.415000000000006,Robert Rossen,['Robert Rossen'],"['Robert Rossen', 'Sidney Carroll', 'Walter Tevis']",10.451999999999998,2000000,7600000,134,7.8,621
52,821,tt0055031,1961,1962,Judgment at Nuremberg,Best Adapted Screenplay,Abby Mann,11,True,"[18, 36]","['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']",79.389,Stanley Kramer,"['Stanley Kramer', 'Philip Langner']",['Abby Mann'],19.904000000000003,3000000,10000000,179,8.0,466
53,1725,tt0055614,1961,1962,West Side Story,Best Adapted Screenplay,Ernest Lehman,11,False,"[80, 18, 10749]","['Natalie Wood', 'Richard Beymer', 'Russ Tamblyn', 'Rita Moreno']",43.14800000000003,Jerome Robbins,['Robert Wise'],"['Ernest Lehman', 'Arthur Laurents', 'Jerome Robbins']",43.64900000000004,6000000,43656822,152,7.3,1231
54,439,tt0053779,1961,1962,La Dolce Vita,Best Original Screenplay,"Federico Fellini, Tullio Pinelli, Ennio Flaiano, Brunello Rondi",4,False,"[35, 18]","['Marcello Mastroianni', 'Anita Ekberg', 'Anouk Aimée', 'Yvonne Furneaux']",159.68799999999953,Federico Fellini,"['Giuseppe Amato', 'Angelo Rizzoli']","['Federico Fellini', 'Tullio Pinelli', 'Ennio Flaiano']",52.48800000000002,0,19647000,176,8.2,1195
