,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_category,nominee,oscar_win,no_oscar_wins,no_oscar_nominations,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,rotten_tomatoes_rating,metascore,total_wins,total_nominations
10,284,tt0053604,1960,1961,The Apartment,Best Director,Billy Wilder,True,5.0,10,"[35, 18, 10749]","['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",42.158,Billy Wilder,['Billy Wilder'],[],40.09100000000002,3000000,25000000,125,82,1429,83,165873,93,94,19,8
11,43039,tt0054198,1960,1961,Never on Sunday,Best Director,Jules Dassin,False,1.0,5,"[18, 35, 10749]","['Melina Mercouri', 'Jules Dassin', 'George Foundas', 'Titos Vandis']",21.128000000000007,Jules Dassin,[],[],4.6,151000,8000000,91,71,41,74,5333,67,N/A,2,8
12,539,tt0054215,1960,1961,Psycho,Best Director,Alfred Hitchcock,False,0.0,4,"[27, 18, 53]","['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']",63.715,Alfred Hitchcock,['Alfred Hitchcock'],['Joseph Stefano'],35.97400000000002,806947,32000000,109,84,7213,85,608728,96,97,5,10
13,53939,tt0054326,1960,1961,Sons and Lovers,Best Director,Jack Cardiff,False,1.0,7,[18],"['Trevor Howard', 'Dean Stockwell', 'Wendy Hiller', 'Donald Pleasence']",21.268000000000004,Jack Cardiff,[],['Gavin Lambert'],6.252999999999999,0,0,103,69,18,71,1408,67,N/A,7,16
14,43047,tt0054353,1960,1961,The Sundowners,Best Director,Fred Zinnemann,False,0.0,5,[12],"['Deborah Kerr', 'Robert Mitchum', 'Peter Ustinov', 'Michael Anderson Jr.']",32.539,Fred Zinnemann,['Gerry Blattner'],['Isobel Lennart'],13.122999999999996,0,0,133,67,32,71,3804,75,82,4,8
15,11209,tt0053580,1960,1961,The Alamo,Best Picture,"John Wayne, Producer",False,1.0,7,[37],"['John Wayne', 'Richard Widmark', 'Laurence Harvey', 'Frankie Avalon']",47.97400000000001,John Wayne,"['John Wayne', 'James Edward Grant', 'Michael Wayne']",['James Edward Grant'],18.268,12000000,7900000,167,72,215,69,14524,52,N/A,6,8
16,284,tt0053604,1960,1961,The Apartment,Best Picture,"Billy Wilder, Producer",True,5.0,10,"[35, 18, 10749]","['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",42.158,Billy Wilder,['Billy Wilder'],[],40.09100000000002,3000000,25000000,125,82,1429,83,165873,93,94,19,8
17,22013,tt0053793,1960,1961,Elmer Gantry,Best Picture,"Bernard Smith, Producer",False,3.0,5,[18],"['Burt Lancaster', 'Jean Simmons', 'Arthur Kennedy', 'Dean Jagger']",39.17699999999999,Richard Brooks,['Bernard Smith'],['Richard Brooks'],15.157999999999996,3000000,10400000,146,72,85,78,10534,94,N/A,8,13
18,53939,tt0054326,1960,1961,Sons and Lovers,Best Picture,"Jerry Wald, Producer",False,1.0,7,[18],"['Trevor Howard', 'Dean Stockwell', 'Wendy Hiller', 'Donald Pleasence']",21.268000000000004,Jack Cardiff,[],['Gavin Lambert'],6.252999999999999,0,0,103,69,18,71,1408,67,N/A,7,16
19,43047,tt0054353,1960,1961,The Sundowners,Best Picture,"Fred Zinnemann, Producer",False,0.0,5,[12],"['Deborah Kerr', 'Robert Mitchum', 'Peter Ustinov', 'Michael Anderson Jr.']",32.539,Fred Zinnemann,['Gerry Blattner'],['Isobel Lennart'],13.122999999999996,0,0,133,67,32,71,3804,75,82,4,8
20,22013,tt0053793,1960,1961,Elmer Gantry,Best Adapted Screenplay,Richard Brooks,True,3.0,5,[18],"['Burt Lancaster', 'Jean Simmons', 'Arthur Kennedy', 'Dean Jagger']",39.17699999999999,Richard Brooks,['Bernard Smith'],['Richard Brooks'],15.157999999999996,3000000,10400000,146,72,85,78,10534,94,N/A,8,13
21,1908,tt0053946,1960,1961,Inherit the Wind,Best Adapted Screenplay,"Nedrick Young, Harold Jacob Smith",False,0.0,4,"[18, 36]","['Spencer Tracy', 'Fredric March', 'Gene Kelly', 'Dick York']",73.31999999999998,Stanley Kramer,"['Stanley Kramer', 'Herman Shumlin']","['Nedrick Young', 'Harold Jacob Smith']",21.135000000000005,0,0,128,78,252,81,27478,92,75,3,7
